Datum;Wotag;Stunde;KFZ_R1;KFZ_R2;KFZ_Gesamt
04.01.2023;3;17;410;379;789
04.01.2023;3;18;324;299;623
04.01.2023;3;19;208;192;400
04.01.2023;3;20;143;132;275
04.01.2023;3;21;104;96;200
04.01.2023;3;22;76;71;147
04.01.2023;3;23;62;57;119
05.01.2023;4;0;59;54;113
05.01.2023;4;1;32;29;61
05.01.2023;4;2;21;20;41
05.01.2023;4;3;16;15;31
05.01.2023;4;4;24;23;47
05.01.2023;4;5;67;61;128
05.01.2023;4;6;164;152;316
05.01.2023;4;7;325;300;625
05.01.2023;4;8;279;257;536
05.01.2023;4;9;227;210;437
05.01.2023;4;10;199;184;383
05.01.2023;4;11;226;209;435
05.01.2023;4;12;261;241;502
05.01.2023;4;13;210;194;404
05.01.2023;4;14;235;217;452
05.01.2023;4;15;275;254;529
05.01.2023;4;16;324;300;624
05.01.2023;4;17;372;344;716
05.01.2023;4;18;315;290;605
05.01.2023;4;19;203;188;391
05.01.2023;4;20;148;137;285
05.01.2023;4;21;105;96;201
05.01.2023;4;22;90;84;174
05.01.2023;4;23;66;61;127
06.01.2023;5;0;59;55;114
06.01.2023;5;1;34;31;65
06.01.2023;5;2;21;20;41
06.01.2023;5;3;18;16;34
06.01.2023;5;4;26;24;50
06.01.2023;5;5;64;59;123
06.01.2023;5;6;179;166;345
06.01.2023;5;7;295;272;567
06.01.2023;5;8;283;262;545
06.01.2023;5;9;219;203;422
06.01.2023;5;10;205;189;394
06.01.2023;5;11;214;198;412
06.01.2023;5;12;259;239;498
06.01.2023;5;13;227;210;437
06.01.2023;5;14;213;197;410
06.01.2023;5;15;258;238;496
06.01.2023;5;16;340;313;653
06.01.2023;5;17;418;386;804
06.01.2023;5;18;345;318;663
06.01.2023;5;19;239;221;460
06.01.2023;5;20;149;138;287
06.01.2023;5;21;99;92;191
06.01.2023;5;22;75;69;144
06.01.2023;5;23;68;62;130
07.01.2023;6;0;51;47;98
07.01.2023;6;1;28;26;54
07.01.2023;6;2;17;16;33
07.01.2023;6;3;14;13;27
07.01.2023;6;4;22;21;43
07.01.2023;6;5;54;49;103
07.01.2023;6;6;141;130;271
07.01.2023;6;7;253;233;486
07.01.2023;6;8;228;210;438
07.01.2023;6;9;191;176;367
07.01.2023;6;10;177;164;341
07.01.2023;6;11;213;196;409
07.01.2023;6;12;215;198;413
07.01.2023;6;13;205;189;394
07.01.2023;6;14;190;176;366
07.01.2023;6;15;217;201;418
07.01.2023;6;16;270;250;520
07.01.2023;6;17;329;303;632
07.01.2023;6;18;295;272;567
07.01.2023;6;19;171;157;328
07.01.2023;6;20;129;120;249
07.01.2023;6;21;85;78;163
07.01.2023;6;22;74;69;143
07.01.2023;6;23;58;53;111
08.01.2023;7;0;41;37;78
08.01.2023;7;1;22;20;42
08.01.2023;7;2;13;12;25
08.01.2023;7;3;11;10;21
08.01.2023;7;4;16;15;31
08.01.2023;7;5;38;36;74
08.01.2023;7;6;102;94;196
08.01.2023;7;7;205;190;395
08.01.2023;7;8;205;190;395
08.01.2023;7;9;151;139;290
08.01.2023;7;10;135;125;260
08.01.2023;7;11;151;140;291
08.01.2023;7;12;174;160;334
08.01.2023;7;13;151;139;290
08.01.2023;7;14;146;135;281
08.01.2023;7;15;186;172;358
08.01.2023;7;16;222;205;427
08.01.2023;7;17;281;259;540
08.01.2023;7;18;205;190;395
08.01.2023;7;19;127;118;245
08.01.2023;7;20;88;82;170
08.01.2023;7;21;73;68;141
08.01.2023;7;22;59;54;113
08.01.2023;7;23;43;40;83
09.01.2023;1;0;61;57;118
09.01.2023;1;1;36;33;69
09.01.2023;1;2;20;18;38
09.01.2023;1;3;16;15;31
09.01.2023;1;4;26;24;50
09.01.2023;1;5;61;57;118
09.01.2023;1;6;167;154;321
09.01.2023;1;7;311;287;598
09.01.2023;1;8;297;275;572
09.01.2023;1;9;246;227;473
09.01.2023;1;10;210;194;404
09.01.2023;1;11;237;219;456
09.01.2023;1;12;225;208;433
09.01.2023;1;13;229;212;441
09.01.2023;1;14;220;203;423
09.01.2023;1;15;255;236;491
09.01.2023;1;16;320;295;615
09.01.2023;1;17;395;364;759
09.01.2023;1;18;328;302;630
09.01.2023;1;19;195;180;375
09.01.2023;1;20;147;135;282
09.01.2023;1;21;102;94;196
09.01.2023;1;22;82;76;158
09.01.2023;1;23;70;65;135
10.01.2023;2;0;64;60;124
10.01.2023;2;1;36;33;69
10.01.2023;2;2;21;19;40
10.01.2023;2;3;16;15;31
10.01.2023;2;4;25;23;48
10.01.2023;2;5;63;59;122
10.01.2023;2;6;168;156;324
10.01.2023;2;7;296;274;570
10.01.2023;2;8;294;271;565
10.01.2023;2;9;232;215;447
10.01.2023;2;10;235;217;452
10.01.2023;2;11;252;232;484
10.01.2023;2;12;240;222;462
10.01.2023;2;13;227;209;436
10.01.2023;2;14;213;197;410
10.01.2023;2;15;264;243;507
10.01.2023;2;16;340;313;653
10.01.2023;2;17;425;393;818
10.01.2023;2;18;302;279;581
10.01.2023;2;19;202;187;389
10.01.2023;2;20;131;120;251
10.01.2023;2;21;103;96;199
10.01.2023;2;22;79;73;152
10.01.2023;2;23;65;60;125
11.01.2023;3;0;60;55;115
11.01.2023;3;1;33;31;64
11.01.2023;3;2;19;18;37
11.01.2023;3;3;16;14;30
11.01.2023;3;4;28;25;53
11.01.2023;3;5;59;54;113
11.01.2023;3;6;158;146;304
11.01.2023;3;7;342;316;658
11.01.2023;3;8;335;309;644
11.01.2023;3;9;216;200;416
11.01.2023;3;10;205;189;394
11.01.2023;3;11;234;216;450
11.01.2023;3;12;272;252;524
11.01.2023;3;13;218;202;420
11.01.2023;3;14;227;210;437
11.01.2023;3;15;282;261;543
11.01.2023;3;16;342;315;657
11.01.2023;3;17;394;363;757
11.01.2023;3;18;311;288;599
11.01.2023;3;19;194;180;374
11.01.2023;3;20;145;133;278
11.01.2023;3;21;103;95;198
11.01.2023;3;22;85;78;163
11.01.2023;3;23;65;60;125
12.01.2023;4;0;64;59;123
12.01.2023;4;1;35;33;68
12.01.2023;4;2;21;19;40
12.01.2023;4;3;17;16;33
12.01.2023;4;4;25;23;48
12.01.2023;4;5;63;58;121
12.01.2023;4;6;161;149;310
12.01.2023;4;7;318;294;612
12.01.2023;4;8;291;269;560
12.01.2023;4;9;254;234;488
12.01.2023;4;10;225;208;433
12.01.2023;4;11;235;216;451
12.01.2023;4;12;241;223;464
12.01.2023;4;13;217;200;417
12.01.2023;4;14;243;225;468
12.01.2023;4;15;275;254;529
12.01.2023;4;16;342;316;658
12.01.2023;4;17;366;338;704
12.01.2023;4;18;328;303;631
12.01.2023;4;19;214;197;411
12.01.2023;4;20;138;128;266
12.01.2023;4;21;102;94;196
12.01.2023;4;22;85;78;163
12.01.2023;4;23;67;62;129
13.01.2023;5;0;62;57;119
13.01.2023;5;1;33;31;64
13.01.2023;5;2;21;19;40
13.01.2023;5;3;17;15;32
13.01.2023;5;4;27;25;52
13.01.2023;5;5;55;50;105
13.01.2023;5;6;165;153;318
13.01.2023;5;7;316;292;608
13.01.2023;5;8;297;274;571
13.01.2023;5;9;226;208;434
13.01.2023;5;10;191;176;367
13.01.2023;5;11;233;216;449
13.01.2023;5;12;272;252;524
13.01.2023;5;13;212;196;408
13.01.2023;5;14;240;221;461
13.01.2023;5;15;267;247;514
13.01.2023;5;16;333;308;641
13.01.2023;5;17;380;351;731
13.01.2023;5;18;308;285;593
13.01.2023;5;19;223;205;428
13.01.2023;5;20;150;139;289
13.01.2023;5;21;113;105;218
13.01.2023;5;22;88;82;170
13.01.2023;5;23;68;63;131
14.01.2023;6;0;58;53;111
14.01.2023;6;1;29;27;56
14.01.2023;6;2;19;17;36
14.01.2023;6;3;14;13;27
14.01.2023;6;4;21;20;41
14.01.2023;6;5;51;48;99
14.01.2023;6;6;149;138;287
14.01.2023;6;7;251;231;482
14.01.2023;6;8;258;239;497
14.01.2023;6;9;193;179;372
14.01.2023;6;10;188;174;362
14.01.2023;6;11;203;187;390
14.01.2023;6;12;232;215;447
14.01.2023;6;13;202;187;389
14.01.2023;6;14;180;166;346
14.01.2023;6;15;230;213;443
14.01.2023;6;16;267;247;514
14.01.2023;6;17;332;307;639
14.01.2023;6;18;287;264;551
14.01.2023;6;19;183;169;352
14.01.2023;6;20;120;111;231
14.01.2023;6;21;84;78;162
14.01.2023;6;22;71;66;137
14.01.2023;6;23;54;49;103
15.01.2023;7;0;40;36;76
15.01.2023;7;1;22;20;42
15.01.2023;7;2;15;13;28
15.01.2023;7;3;11;11;22
15.01.2023;7;4;15;13;28
15.01.2023;7;5;42;38;80
15.01.2023;7;6;109;101;210
15.01.2023;7;7;208;192;400
15.01.2023;7;8;205;190;395
15.01.2023;7;9;134;124;258
15.01.2023;7;10;132;121;253
15.01.2023;7;11;154;142;296
15.01.2023;7;12;150;139;289
15.01.2023;7;13;161;148;309
15.01.2023;7;14;152;141;293
15.01.2023;7;15;184;170;354
15.01.2023;7;16;211;195;406
15.01.2023;7;17;271;251;522
15.01.2023;7;18;215;198;413
15.01.2023;7;19;137;127;264
15.01.2023;7;20;96;89;185
15.01.2023;7;21;69;63;132
15.01.2023;7;22;52;48;100
15.01.2023;7;23;43;40;83
16.01.2023;1;0;62;58;120
16.01.2023;1;1;34;32;66
16.01.2023;1;2;22;20;42
16.01.2023;1;3;16;14;30
16.01.2023;1;4;25;23;48
16.01.2023;1;5;67;62;129
16.01.2023;1;6;161;149;310
16.01.2023;1;7;301;277;578
16.01.2023;1;8;295;273;568
16.01.2023;1;9;240;221;461
16.01.2023;1;10;209;193;402
16.01.2023;1;11;245;226;471
16.01.2023;1;12;262;241;503
16.01.2023;1;13;240;221;461
16.01.2023;1;14;236;218;454
16.01.2023;1;15;303;280;583
16.01.2023;1;16;331;305;636
16.01.2023;1;17;361;333;694
16.01.2023;1;18;339;312;651
16.01.2023;1;19;204;189;393
16.01.2023;1;20;147;136;283
16.01.2023;1;21;111;103;214
16.01.2023;1;22;77;71;148
16.01.2023;1;23;63;58;121
17.01.2023;2;0;58;53;111
17.01.2023;2;1;32;30;62
17.01.2023;2;2;21;20;41
17.01.2023;2;3;17;16;33
17.01.2023;2;4;25;24;49
17.01.2023;2;5;58;54;112
17.01.2023;2;6;148;136;284
17.01.2023;2;7;314;290;604
17.01.2023;2;8;285;264;549
17.01.2023;2;9;235;217;452
17.01.2023;2;10;216;200;416
17.01.2023;2;11;231;214;445
17.01.2023;2;12;261;240;501
17.01.2023;2;13;232;215;447
17.01.2023;2;14;236;218;454
17.01.2023;2;15;262;242;504
17.01.2023;2;16;331;306;637
17.01.2023;2;17;405;374;779
17.01.2023;2;18;327;301;628
17.01.2023;2;19;205;189;394
17.01.2023;2;20;150;139;289
17.01.2023;2;21;103;95;198
17.01.2023;2;22;83;77;160
17.01.2023;2;23;70;64;134
18.01.2023;3;0;57;52;109
18.01.2023;3;1;31;29;60
18.01.2023;3;2;19;18;37
18.01.2023;3;3;15;13;28
18.01.2023;3;4;24;23;47
18.01.2023;3;5;65;60;125
18.01.2023;3;6;165;152;317
18.01.2023;3;7;317;292;609
18.01.2023;3;8;308;285;593
18.01.2023;3;9;245;226;471
18.01.2023;3;10;208;192;400
18.01.2023;3;11;245;227;472
18.01.2023;3;12;252;232;484
18.01.2023;3;13;220;204;424
18.01.2023;3;14;223;206;429
18.01.2023;3;15;252;232;484
18.01.2023;3;16;319;295;614
18.01.2023;3;17;394;364;758
18.01.2023;3;18;326;301;627
18.01.2023;3;19;227;209;436
18.01.2023;3;20;136;126;262
18.01.2023;3;21;107;98;205
18.01.2023;3;22;79;73;152
18.01.2023;3;23;69;63;132
19.01.2023;4;0;62;58;120
19.01.2023;4;1;30;28;58
19.01.2023;4;2;22;20;42
19.01.2023;4;3;16;15;31
19.01.2023;4;4;24;23;47
19.01.2023;4;5;59;55;114
19.01.2023;4;6;162;149;311
19.01.2023;4;7;320;296;616
19.01.2023;4;8;290;267;557
19.01.2023;4;9;233;216;449
19.01.2023;4;10;213;196;409
19.01.2023;4;11;245;226;471
19.01.2023;4;12;246;228;474
19.01.2023;4;13;213;196;409
19.01.2023;4;14;242;224;466
19.01.2023;4;15;267;247;514
19.01.2023;4;16;353;326;679
19.01.2023;4;17;409;377;786
19.01.2023;4;18;311;288;599
19.01.2023;4;19;213;196;409
19.01.2023;4;20;161;148;309
19.01.2023;4;21;115;107;222
19.01.2023;4;22;84;77;161
19.01.2023;4;23;68;62;130
20.01.2023;5;0;66;61;127
20.01.2023;5;1;32;30;62
20.01.2023;5;2;21;20;41
20.01.2023;5;3;17;15;32
20.01.2023;5;4;25;24;49
20.01.2023;5;5;60;56;116
20.01.2023;5;6;154;142;296
20.01.2023;5;7;281;259;540
20.01.2023;5;8;276;255;531
20.01.2023;5;9;225;207;432
20.01.2023;5;10;206;190;396
20.01.2023;5;11;252;233;485
20.01.2023;5;12;265;244;509
20.01.2023;5;13;219;202;421
20.01.2023;5;14;234;216;450
20.01.2023;5;15;266;246;512
20.01.2023;5;16;330;304;634
20.01.2023;5;17;405;374;779
20.01.2023;5;18;323;298;621
20.01.2023;5;19;205;190;395
20.01.2023;5;20;154;142;296
20.01.2023;5;21;98;91;189
20.01.2023;5;22;84;77;161
20.01.2023;5;23;75;70;145
21.01.2023;6;0;54;50;104
21.01.2023;6;1;31;28;59
21.01.2023;6;2;18;16;34
21.01.2023;6;3;15;13;28
21.01.2023;6;4;21;20;41
21.01.2023;6;5;53;49;102
21.01.2023;6;6;137;126;263
21.01.2023;6;7;272;251;523
21.01.2023;6;8;238;220;458
21.01.2023;6;9;202;186;388
21.01.2023;6;10;187;173;360
21.01.2023;6;11;199;184;383
21.01.2023;6;12;210;194;404
21.01.2023;6;13;200;184;384
21.01.2023;6;14;192;178;370
21.01.2023;6;15;242;223;465
21.01.2023;6;16;258;238;496
21.01.2023;6;17;335;310;645
21.01.2023;6;18;240;221;461
21.01.2023;6;19;164;152;316
21.01.2023;6;20;133;122;255
21.01.2023;6;21;93;85;178
21.01.2023;6;22;69;63;132
21.01.2023;6;23;53;48;101
22.01.2023;7;0;35;32;67
22.01.2023;7;1;21;20;41
22.01.2023;7;2;15;14;29
22.01.2023;7;3;11;10;21
22.01.2023;7;4;16;14;30
22.01.2023;7;5;42;38;80
22.01.2023;7;6;100;93;193
22.01.2023;7;7;201;185;386
22.01.2023;7;8;191;177;368
22.01.2023;7;9;149;137;286
22.01.2023;7;10;141;131;272
22.01.2023;7;11;152;140;292
22.01.2023;7;12;168;156;324
22.01.2023;7;13;144;133;277
22.01.2023;7;14;156;144;300
22.01.2023;7;15;191;176;367
22.01.2023;7;16;207;191;398
22.01.2023;7;17;249;230;479
22.01.2023;7;18;217;201;418
22.01.2023;7;19;135;124;259
22.01.2023;7;20;102;94;196
22.01.2023;7;21;67;61;128
22.01.2023;7;22;58;54;112
22.01.2023;7;23;44;40;84
23.01.2023;1;0;63;59;122
23.01.2023;1;1;36;33;69
23.01.2023;1;2;20;19;39
23.01.2023;1;3;16;15;31
23.01.2023;1;4;24;23;47
23.01.2023;1;5;64;59;123
23.01.2023;1;6;154;142;296
23.01.2023;1;7;323;299;622
23.01.2023;1;8;284;263;547
23.01.2023;1;9;243;224;467
23.01.2023;1;10;184;170;354
23.01.2023;1;11;221;204;425
23.01.2023;1;12;230;212;442
23.01.2023;1;13;220;204;424
23.01.2023;1;14;233;215;448
23.01.2023;1;15;269;249;518
23.01.2023;1;16;330;305;635
23.01.2023;1;17;398;367;765
23.01.2023;1;18;317;292;609
23.01.2023;1;19;199;183;382
23.01.2023;1;20;151;140;291
23.01.2023;1;21;108;100;208
23.01.2023;1;22;85;79;164
23.01.2023;1;23;69;63;132
24.01.2023;2;0;63;59;122
24.01.2023;2;1;37;34;71
24.01.2023;2;2;21;19;40
24.01.2023;2;3;17;15;32
24.01.2023;2;4;24;22;46
24.01.2023;2;5;59;55;114
24.01.2023;2;6;157;144;301
24.01.2023;2;7;300;276;576
24.01.2023;2;8;292;269;561
24.01.2023;2;9;233;216;449
24.01.2023;2;10;210;193;403
24.01.2023;2;11;221;204;425
24.01.2023;2;12;262;242;504
24.01.2023;2;13;238;220;458
24.01.2023;2;14;228;211;439
24.01.2023;2;15;263;242;505
24.01.2023;2;16;344;317;661
24.01.2023;2;17;405;374;779
24.01.2023;2;18;291;268;559
24.01.2023;2;19;208;192;400
24.01.2023;2;20;148;137;285
24.01.2023;2;21;100;92;192
24.01.2023;2;22;84;78;162
24.01.2023;2;23;62;57;119
25.01.2023;3;0;67;62;129
25.01.2023;3;1;35;33;68
25.01.2023;3;2;21;19;40
25.01.2023;3;3;17;16;33
25.01.2023;3;4;22;20;42
25.01.2023;3;5;59;55;114
25.01.2023;3;6;165;152;317
25.01.2023;3;7;296;274;570
25.01.2023;3;8;303;280;583
25.01.2023;3;9;253;233;486
25.01.2023;3;10;197;181;378
25.01.2023;3;11;220;204;424
25.01.2023;3;12;254;234;488
25.01.2023;3;13;249;229;478
25.01.2023;3;14;216;199;415
25.01.2023;3;15;275;254;529
25.01.2023;3;16;365;337;702
25.01.2023;3;17;368;340;708
25.01.2023;3;18;293;271;564
25.01.2023;3;19;204;189;393
25.01.2023;3;20;142;132;274
25.01.2023;3;21;109;100;209
25.01.2023;3;22;85;78;163
25.01.2023;3;23;61;56;117
26.01.2023;4;0;64;60;124
26.01.2023;4;1;32;30;62
26.01.2023;4;2;22;21;43
26.01.2023;4;3;16;15;31
26.01.2023;4;4;24;23;47
26.01.2023;4;5;64;60;124
26.01.2023;4;6;174;160;334
26.01.2023;4;7;320;296;616
26.01.2023;4;8;268;247;515
26.01.2023;4;9;236;218;454
26.01.2023;4;10;198;183;381
26.01.2023;4;11;232;215;447
26.01.2023;4;12;233;215;448
26.01.2023;4;13;235;217;452
26.01.2023;4;14;220;204;424
26.01.2023;4;15;254;235;489
26.01.2023;4;16;346;320;666
26.01.2023;4;17;406;375;781
26.01.2023;4;18;304;280;584
26.01.2023;4;19;224;207;431
26.01.2023;4;20;143;132;275
26.01.2023;4;21;105;96;201
26.01.2023;4;22;85;78;163
26.01.2023;4;23;65;60;125
27.01.2023;5;0;64;59;123
27.01.2023;5;1;33;30;63
27.01.2023;5;2;20;19;39
27.01.2023;5;3;18;16;34
27.01.2023;5;4;24;22;46
27.01.2023;5;5;55;51;106
27.01.2023;5;6;180;167;347
27.01.2023;5;7;354;326;680
27.01.2023;5;8;287;264;551
27.01.2023;5;9;207;192;399
27.01.2023;5;10;206;190;396
27.01.2023;5;11;227;209;436
27.01.2023;5;12;249;229;478
27.01.2023;5;13;217;200;417
27.01.2023;5;14;237;218;455
27.01.2023;5;15;279;257;536
27.01.2023;5;16;309;286;595
27.01.2023;5;17;415;384;799
27.01.2023;5;18;346;319;665
27.01.2023;5;19;211;194;405
27.01.2023;5;20;144;133;277
27.01.2023;5;21;103;96;199
27.01.2023;5;22;86;80;166
27.01.2023;5;23;61;56;117
28.01.2023;6;0;54;49;103
28.01.2023;6;1;28;26;54
28.01.2023;6;2;19;18;37
28.01.2023;6;3;14;13;27
28.01.2023;6;4;23;21;44
28.01.2023;6;5;50;47;97
28.01.2023;6;6;146;135;281
28.01.2023;6;7;271;250;521
28.01.2023;6;8;238;219;457
28.01.2023;6;9;197;182;379
28.01.2023;6;10;188;174;362
28.01.2023;6;11;192;178;370
28.01.2023;6;12;195;180;375
28.01.2023;6;13;195;180;375
28.01.2023;6;14;187;172;359
28.01.2023;6;15;227;209;436
28.01.2023;6;16;283;261;544
28.01.2023;6;17;312;288;600
28.01.2023;6;18;245;226;471
28.01.2023;6;19;182;168;350
28.01.2023;6;20;121;112;233
28.01.2023;6;21;77;72;149
28.01.2023;6;22;74;68;142
28.01.2023;6;23;58;53;111
29.01.2023;7;0;40;36;76
29.01.2023;7;1;20;19;39
29.01.2023;7;2;14;13;27
29.01.2023;7;3;11;10;21
29.01.2023;7;4;18;17;35
29.01.2023;7;5;42;38;80
29.01.2023;7;6;111;102;213
29.01.2023;7;7;202;187;389
29.01.2023;7;8;198;183;381
29.01.2023;7;9;154;142;296
29.01.2023;7;10;145;133;278
29.01.2023;7;11;146;134;280
29.01.2023;7;12;160;147;307
29.01.2023;7;13;146;134;280
29.01.2023;7;14;155;144;299
29.01.2023;7;15;190;175;365
29.01.2023;7;16;212;196;408
29.01.2023;7;17;255;236;491
29.01.2023;7;18;207;191;398
29.01.2023;7;19;134;124;258
29.01.2023;7;20;100;92;192
29.01.2023;7;21;60;56;116
29.01.2023;7;22;52;48;100
29.01.2023;7;23;42;38;80
30.01.2023;1;0;56;51;107
30.01.2023;1;1;32;29;61
30.01.2023;1;2;20;18;38
30.01.2023;1;3;17;15;32
30.01.2023;1;4;27;24;51
30.01.2023;1;5;62;57;119
30.01.2023;1;6;159;146;305
30.01.2023;1;7;313;288;601
30.01.2023;1;8;308;284;592
30.01.2023;1;9;218;202;420
30.01.2023;1;10;200;184;384
30.01.2023;1;11;236;218;454
30.01.2023;1;12;248;229;477
30.01.2023;1;13;237;219;456
30.01.2023;1;14;230;212;442
30.01.2023;1;15;281;260;541
30.01.2023;1;16;317;293;610
30.01.2023;1;17;401;370;771
30.01.2023;1;18;310;286;596
30.01.2023;1;19;196;181;377
30.01.2023;1;20;135;124;259
30.01.2023;1;21;108;100;208
30.01.2023;1;22;82;76;158
30.01.2023;1;23;63;59;122
31.01.2023;2;0;62;58;120
31.01.2023;2;1;35;33;68
31.01.2023;2;2;19;17;36
31.01.2023;2;3;16;14;30
31.01.2023;2;4;24;22;46
31.01.2023;2;5;67;62;129
31.01.2023;2;6;170;156;326
31.01.2023;2;7;326;300;626
31.01.2023;2;8;276;255;531
31.01.2023;2;9;217;200;417
31.01.2023;2;10;214;197;411
31.01.2023;2;11;230;213;443
31.01.2023;2;12;257;238;495
31.01.2023;2;13;228;210;438
31.01.2023;2;14;233;215;448
31.01.2023;2;15;274;253;527
31.01.2023;2;16;347;321;668
31.01.2023;2;17;418;385;803
31.01.2023;2;18;288;266;554
31.01.2023;2;19;186;171;357
31.01.2023;2;20;153;142;295
31.01.2023;2;21;111;102;213
31.01.2023;2;22;80;73;153
31.01.2023;2;23;61;56;117
01.02.2023;3;0;63;58;121
01.02.2023;3;1;35;32;67
01.02.2023;3;2;23;21;44
01.02.2023;3;3;17;16;33
01.02.2023;3;4;24;23;47
01.02.2023;3;5;60;55;115
01.02.2023;3;6;167;155;322
01.02.2023;3;7;309;285;594
01.02.2023;3;8;278;256;534
01.02.2023;3;9;253;234;487
01.02.2023;3;10;228;210;438
01.02.2023;3;11;243;224;467
01.02.2023;3;12;239;221;460
01.02.2023;3;13;240;221;461
01.02.2023;3;14;237;219;456
01.02.2023;3;15;278;256;534
01.02.2023;3;16;355;328;683
01.02.2023;3;17;414;382;796
01.02.2023;3;18;325;300;625
01.02.2023;3;19;216;199;415
01.02.2023;3;20;149;137;286
01.02.2023;3;21;95;88;183
01.02.2023;3;22;84;77;161
01.02.2023;3;23;65;60;125
02.02.2023;4;0;59;54;113
02.02.2023;4;1;36;34;70
02.02.2023;4;2;23;21;44
02.02.2023;4;3;18;16;34
02.02.2023;4;4;25;24;49
02.02.2023;4;5;67;62;129
02.02.2023;4;6;167;155;322
02.02.2023;4;7;317;292;609
02.02.2023;4;8;277;255;532
02.02.2023;4;9;235;216;451
02.02.2023;4;10;210;193;403
02.02.2023;4;11;215;198;413
02.02.2023;4;12;250;231;481
02.02.2023;4;13;229;211;440
02.02.2023;4;14;251;231;482
02.02.2023;4;15;284;262;546
02.02.2023;4;16;334;309;643
02.02.2023;4;17;406;375;781
02.02.2023;4;18;314;290;604
02.02.2023;4;19;207;191;398
02.02.2023;4;20;138;128;266
02.02.2023;4;21;103;96;199
02.02.2023;4;22;81;74;155
02.02.2023;4;23;63;58;121
03.02.2023;5;0;64;60;124
03.02.2023;5;1;34;32;66
03.02.2023;5;2;19;18;37
03.02.2023;5;3;17;15;32
03.02.2023;5;4;27;24;51
03.02.2023;5;5;66;61;127
03.02.2023;5;6;176;162;338
03.02.2023;5;7;314;290;604
03.02.2023;5;8;280;259;539
03.02.2023;5;9;217;201;418
03.02.2023;5;10;213;196;409
03.02.2023;5;11;234;216;450
03.02.2023;5;12;267;246;513
03.02.2023;5;13;242;224;466
03.02.2023;5;14;228;211;439
03.02.2023;5;15;255;235;490
03.02.2023;5;16;329;304;633
03.02.2023;5;17;406;374;780
03.02.2023;5;18;310;287;597
03.02.2023;5;19;203;187;390
03.02.2023;5;20;148;137;285
03.02.2023;5;21;102;94;196
03.02.2023;5;22;81;75;156
03.02.2023;5;23;68;63;131
04.02.2023;6;0;52;48;100
04.02.2023;6;1;29;26;55
